timestamp,vrms,irms,watt,var,va,freq,kwh,pf,connected_a,vrms_a,irms_a,watt_a,var_a,va_a,freq_a,kwh_a,pf_a,connected_b,vrms_b,irms_b,watt_b,var_b,va_b,freq_b,kwh_b,pf_b,connected_c,vrms_c,irms_c,watt_c,var_c,va_c,freq_c,kwh_c,pf_c
30/05/2022 07:20,52595.5,12913.5,2643944.6,82976.3,2827381,11871.5,116.1219,141.13,237,52827.5,4019,811744.3,89640.5,885341.7,11870.2,36.2381,133.21,237,52310.3,4829.9,982874.8,14050.5,1050693.9,11870,43.8704,129.87,237,52650,4063.5,849327.9,-20714.5,891344.4,11869.9,36.0148,161.46
30/05/2022 07:30,134074.3,15931.1,3330247.7,147411.7,3489469.8,30002,789.1837,240.65,600,134523.9,5005,1029247.1,139263.8,1102252.6,30004.2,243.1781,208.48,600,133494.3,5815.6,1227576.8,25132.3,1265152,30006.4,292.5829,153.58,600,134204.9,5108.6,1073423.6,-16982,1122066.2,30005,253.4208,362.67
30/05/2022 07:40,135479.1,288,13758.8,6188.4,65086.5,30007.8,959.8961,99.48,600,135732.8,95.5,2728.2,-409.2,21575.4,30011.3,295.5173,45.62,600,134957.7,70.5,-401.9,809.5,16085.7,30011.7,354.4897,-10.39,600,135750.5,120,11440,5787,27424.7,30010.5,309.8828,262.34
30/05/2022 07:50,136566.2,182.8,7656.4,-2858.1,40888.8,30000.4,961.3441,87.93,600,136837.3,41.4,1553.5,583.8,9335.2,30002.2,295.8506,14.07,600,136431.6,30,-213,167,6832.1,30001.5,354.4705,-2.36,600,136434.8,110.9,6318.1,-3609,24722.1,30003,311.0335,250.51
30/05/2022 08:00,137193.4,67.6,6502.6,-1975,14587.3,29998.2,962.5233,99.72,600,137435.2,4.6,1721.9,538.1,1024.4,29998.9,296.1175,5.33,600,136674.4,3.1,-1499.8,650.2,655,29998.2,354.3253,-3.92,600,137469.6,60.1,6277.3,-3163.1,12908,29998,312.0782,294.63
30/05/2022 08:10,136896.1,82.6,6577.8,-1993.8,18227,30000,963.6096,98.8,600,137182,9.3,1710,520.3,2112.3,30002.4,296.404,9.47,600,136016,9.2,-1459.7,678.2,2185.4,30002.9,354.0766,-7.15,600,137489.1,64.2,6323.2,-3191.5,13930,29999.8,313.1276,290.56
30/05/2022 08:20,137188.2,68.8,6535,-1989.8,14857.9,29997.5,964.7037,100.61,600,137677.2,4.8,1739.4,548.6,1061.4,30000.9,296.6929,4.26,600,136154.9,3.1,-1546.5,654.5,666.2,29996.7,353.8284,-3.52,600,137731,61.3,6336.7,-3190.4,13131,29997,314.1829,297.71
30/05/2022 08:30,136791.1,67.6,6591.6,-2021.2,14505.3,30001.8,965.7958,101.95,600,137335.8,4.9,1704.3,510.9,1023.1,30004,296.9816,5.3,600,135711.7,3,-1468.2,665.9,710.9,30005.6,353.5751,-3.38,600,137322.6,60,6349.2,-3196.4,12771.4,30004,315.2396,300.97
30/05/2022 08:40,136752.6,67.5,6556.1,-2020.4,14373.7,30000.5,966.8931,102.21,600,137251.5,4.5,1726.4,508.2,1016.2,30003.6,297.2661,6.29,600,135912.3,3.1,-1483.9,676.7,668,30002.6,353.3316,-3.33,600,137094,60,6308.7,-3204.2,12689.4,30003.5,316.295,300.9
30/05/2022 08:50,136052.8,67.7,6586.5,-1943.9,14420.2,29998.1,967.9835,102.71,600,136599.9,4.9,1725.1,542.2,1022.1,29994,297.5568,6.38,600,135200.2,3.1,-1481,675.5,678.6,30000,353.0795,-4.02,600,136360.6,60.3,6336.4,-3161.6,12719.4,30000.4,317.3476,303.3
30/05/2022 09:00,135154.3,67.8,6775.7,-2033,14287.8,29998.1,969.0974,103.82,600,135415.6,4.6,1678.4,521.8,998.6,29998.3,297.8411,5.88,600,134253.8,3.3,-1286,619.3,679.7,29996,352.8497,-2.49,600,135792.9,60.1,6371.4,-3171,12610.9,30000,318.4055,306.32
30/05/2022 09:10,135224.2,67.8,6788.2,-2036,14334.1,29997.9,970.2287,103.79,600,135749.6,4.9,1666.5,538.9,1036.1,30000,298.1208,5.87,600,134132.6,3.2,-1265.3,600.4,690.7,30000.4,352.6416,-2.84,600,135792,60,6376.7,-3175.3,12608.4,29997.5,319.4684,306.4
30/05/2022 09:20,135652.8,67.4,6885.6,-2065.7,14342.5,30000.7,971.3685,104.01,600,136311.2,4.7,1653.1,513.1,1007.9,30002.8,298.3938,6.1,600,134474.6,3.1,-1168.8,612,682,30002,352.4426,-2.3,600,136172.7,60,6389.6,-3188.1,12652.6,30004.4,320.5315,305.63
30/05/2022 09:30,135331.1,67.6,6913,-2017.8,14301.6,29998.9,972.5173,103.25,600,135915.5,5,1701.1,510.7,1016.7,29998.4,298.6768,5.39,600,134325.2,3.2,-1138.7,650.4,681.5,30000.5,352.2489,-2.61,600,135755.4,60,6338.2,-3176.7,12603.9,29998,321.5912,304.93
30/05/2022 09:40,135326.9,68.7,7004,-2040.7,14625.7,29998.1,973.6805,104.21,600,135910.6,4.7,1660,499.7,1005.8,29998.8,298.9563,7.89,600,134238.8,3.2,-1056.9,646.1,711.7,29998.1,352.073,-2.41,600,135833.7,61.1,6388.3,-3185.4,12909,29998.9,322.6521,305.26
30/05/2022 09:50,135484.8,67.8,6918.3,-2012.1,14393.6,30010.4,974.8415,103.52,600,135974.4,4.7,1684.9,536.3,1005.4,30016.6,299.2334,4.58,600,134666.5,3.2,-1168,657.5,683.6,30012.5,351.8889,-2.23,600,135810.5,60.2,6391,-3205.7,12704.7,30015.5,323.717,305.63
30/05/2022 10:00,135824.2,68.8,6967.5,-2073.3,14524.8,29999.6,975.9966,102.7,600,136066.1,4.9,1665.6,496.7,1028.3,30001.8,299.5158,5.93,600,134979.9,3.3,-1070.7,688.4,706.2,30000.1,351.704,-4.41,600,136427.9,60.7,6359.8,-3254.7,12790.1,29999.9,324.7779,304.72
30/05/2022 10:10,136103.2,68.2,6905.4,-2058,14446.9,30012.1,977.1558,103.79,600,136570.6,4.7,1685.5,542.7,1035.5,30014.4,299.7923,4.95,600,135250,3.1,-1177.7,685,664,30012.5,351.5226,-2.21,600,136487.3,60.7,6384.4,-3285.8,12748.5,30015,325.8403,306.52
