timestamp,vrms,irms,watt,var,va,freq,kwh,pf,connected_a,vrms_a,irms_a,watt_a,var_a,va_a,freq_a,kwh_a,pf_a,connected_b,vrms_b,irms_b,watt_b,var_b,va_b,freq_b,kwh_b,pf_b,connected_c,vrms_c,irms_c,watt_c,var_c,va_c,freq_c,kwh_c,pf_c
30/05/2022 07:10,8503.9,1029.2,177916.7,112853.8,229835.3,1902,1.6456,29.42,38,8522.8,342.9,60624.8,36357.1,76716.9,1901.9,0.5597,30.02,38,8469.6,337.7,56789.9,38071.9,75122.9,1902,0.5256,28.77,38,8519.1,348.4,60501.8,38424.4,77995.7,1901.9,0.5605,29.48
30/05/2022 07:20,131806.3,16306.4,2831653.5,1733539.7,3574722.1,30039.9,275.6057,475.61,600,132505.3,5507.4,980283.4,563030.7,1213540.7,30042.4,95.4828,484.18,600,130943.3,5272.7,900028.6,582266.5,1148113.2,30038.4,87.2842,470.1,600,131968.4,5527.4,951341.8,588242.4,1213070.5,30041.3,92.8385,470.63
30/05/2022 07:30,133689.6,16245.3,2845410.7,1772121.8,3611524.6,30003.2,748.6121,472.57,600,134168.1,5440.8,969955.9,576641,1214682.8,30008,257.8761,478.93,600,133101.1,5315.7,915235.9,606495.4,1176516,30006.9,238.8371,466.78,600,133801,5484.8,960220.7,588985.4,1220324.2,30001.7,251.8982,471.73
30/05/2022 07:40,135419.7,3427.4,598922.5,373550.6,767263,30008.5,1076.2134,90.41,600,135700.5,1143.4,202965.4,121543.9,256636.1,30014.4,369.1698,100.75,600,134877.2,1126.5,190933.9,128151.4,251230.3,30009.6,344.1773,60.33,600,135681.8,1159.7,205021.7,123852.7,259396.9,30010.6,362.8493,110.12
30/05/2022 07:50,136590.7,19.8,713.6,-4019.5,4555.4,29997.7,1086.6362,-8.06,600,136888.3,5.2,-1.5,-843.1,1125.3,29997.5,372.66,0,600,136435.7,9.1,-2160.3,-2054.5,2248.5,30000.3,347.1426,-35.02,600,136448.7,5.5,2873.4,-1125.7,1181.4,29999.7,366.8109,10.99
30/05/2022 08:00,137214.2,11.5,811.6,-3997.6,2519,29998.2,1086.7653,2.32,600,137482.4,5.3,0,-855.8,1098.4,30000.5,372.66,0,600,136679.8,0.7,-2156.8,-2011.9,192.5,29998.6,346.7848,-4.87,600,137482.1,5.4,2961.7,-1134.1,1228.2,29996.7,367.2964,11.81
30/05/2022 08:10,136913.9,11.8,790.9,-4004.8,2523.4,29997.7,1086.8948,3.17,600,137220.4,5.7,-1.5,-850.4,1207.9,29999.6,372.66,-0.03,600,136021.6,0.8,-2172.1,-2028.6,158.6,29997.8,346.4247,-1.76,600,137504.1,5.3,2958.8,-1132.8,1157,29999.5,367.788,11.12
30/05/2022 08:20,137212.5,11,781,-3998.4,2434.2,29999.1,1087.0247,4.07,600,137726.4,5.4,0,-859.4,1125.7,30001.1,372.66,0,600,136161,0.5,-2177,-2017.7,125.4,29998.3,346.0627,-0.97,600,137749.6,5.2,2952.5,-1126,1182.8,29998.2,368.2801,13
30/05/2022 08:30,136812.6,10.8,779.6,-3969.5,2384.1,30002.8,1087.1531,3.17,600,137382.9,5,0,-861.7,1114.6,30007.1,372.66,0,600,135715.7,0.6,-2150.1,-1984.3,104.8,30006.1,345.7036,-0.62,600,137342.9,5.2,2926.1,-1128.9,1164.5,30003.3,368.7682,9.84
30/05/2022 08:40,136777.4,11.2,783,-3937,2437.6,29997.9,1087.2819,3.63,600,137303.7,5.2,0,-870.7,1111,29999.9,372.66,0,600,135920.3,0.7,-2128.5,-1961.7,145.4,30001.3,345.3476,-1.03,600,137105,5.4,2908.2,-1110.4,1181.2,29998.8,369.2535,11.77
