datetime,temperature_max,temperature_min,humidity_max,humidity_min,irradiation_max,irradiation_min,wind_speed_max,wind_speed_min,pressure_max,pressure_min,cell_temperature_max,cell_temperature_min
2/27/2022,19.3,7.3,93,34,920.5,0,3.5,0,1027.4,1021.8,40.63516667,6.687
3/6/2022,19.3,5.4,89,42,962.5,0,8,0,1029.6,1012.7,36.875,4.937
3/13/2022,21,4.3,97,40,953.9,0,22,0,1030.5,1016.6,38.86312103,4.554041862
3/20/2022,18.5,9,93,62,1053.2,0,28.4,0.4,1034.3,1015.1,35.90812302,7.5
3/27/2022,19.5,6.4,97,40,1058,0,28,0,1033.2,1018.5,38.875,5.187
4/3/2022,25.1,8.9,95,30,1113.5,0,20.3,0,1027.5,1001.2,39.66856003,8.437
4/10/2022,27.9,9,86,21,1051.1,0,20.1,0,1025.6,1010.9,47.187,8.779844284
4/17/2022,20.3,5.8,91,31,956,0,31.5,0.3,1025.7,1011.9,33.562,5.625
4/24/2022,29.9,7.5,91,21,1062.4,0,19.5,0,1020.7,1001.8,38.125,7.187
5/1/2022,27.2,10.9,90,15,909.7,0,14.9,0,1023.8,1015.5,32.187,11.812
5/8/2022,27.5,14.2,93,34,1087.9,0,32.1,0,1022.3,1006.2,32.75,13.062
5/15/2022,30.7,13.8,94,37,1109.6,0,14.3,0,1027.9,1018.4,51.875,12.937
5/22/2022,30.1,15.2,88,30,928.3,0,12.3,0,1027.3,1015.5,54.562,14.25
5/29/2022,36.1,16.2,93,16,1083.7,0,15.2,0,1019.9,1009.1,54.562,17.375
6/5/2022,41.6,19.2,90,12,1022.9,0,18.7,0,1021.4,1010.8,62.5,17.875
6/12/2022,32.8,19.3,76,31,939.2,0,16.4,0,1022.7,1013.8,54.437,18.375
6/19/2022,34.7,17.9,90,23,944,0,16.4,0,1021.5,1015.5,52.5,17.125
6/26/2022,41.1,19.8,91,16,932.2,0,21.9,0,1018.9,1012.3,61.375,19.125
7/3/2022,40.6,24.2,91,26,919.2,0,22.9,0,1021.4,1012,57.687,22.375
7/10/2022,36.6,22.2,84,28,918.8,0,12.6,0,1022.2,1017.1,54.75,21.437
7/17/2022,35.1,20,89,29,909.7,0,19.5,0,1022.7,1017.5,50.875,19.125
7/24/2022,38,22.2,91,16,921,0,18,0,1020.8,1016.9,55.25,20.687
7/31/2022,38.8,21.8,86,22,915.3,0,11.9,0,1019.2,1012.1,57.312,21.062
8/7/2022,37.7,23.3,86,26,1220.3,0,15.9,0,1018.1,1014.3,55.937,22.5
8/14/2022,38.5,22.7,82,26,912.3,0,9.3,0,1019,1013.1,58.125,21.5
8/21/2022,42.6,22.7,80,21,963.4,0,21.7,0,1019.8,1009.9,58.125,21.5
8/28/2022,36.1,21.7,91,39,910.5,0,15.8,0,1017.7,1011.6,54.25,21.187
9/4/2022,41,21.6,90,24,965.2,0,14.8,0,1021.8,1014.3,60.5,20.562
9/11/2022,41.6,24.6,88,23,808.1,0,20,0,1022.7,1014.5,60.062,22.875
9/18/2022,36.9,19.4,92,36,812.9,0,19.7,0,1019.6,1010,58.125,19.187
9/25/2022,36.1,15.6,93,33,885,0,21.6,0,1022.6,1012.6,54.812,14.5
10/2/2022,30.7,21.4,83,44,851.1,0,13.7,0,1015.3,1011.4,48.125,19.937
