Date;start;end;active power;Active energy;Energy phase 1;Energy phase 2;Energy phase 3;Reactive power
10/06/20;00:00;00:10;0;0;0;0;0;0
10/06/20;00:10;00:20;0;0;0;0;0;0
10/06/20;00:20;00:30;0;0;0;0;0;0
10/06/20;00:30;00:40;0;0;0;0;0;0
10/06/20;00:40;00:50;0;0;0;0;0;0
10/06/20;00:50;01:00;0;0;0;0;0;0
10/06/20;01:00;01:10;0;0;0;0;0;0
10/06/20;01:10;01:20;0;0;0;0;0;0
10/06/20;01:20;01:30;0;0;0;0;0;0
10/06/20;01:30;01:40;0;0;0;0;0;0
10/06/20;01:40;01:50;0;0;0;0;0;0
10/06/20;01:50;02:00;0;0;0;0;0;0
10/06/20;02:00;02:10;0;0;0;0;0;0
10/06/20;02:10;02:20;0;0;0;0;0;0
10/06/20;02:20;02:30;0;0;0;0;0;0
10/06/20;02:30;02:40;0;0;0;0;0;0
10/06/20;02:40;02:50;0;0;0;0;0;0
10/06/20;02:50;03:00;0;0;0;0;0;0
10/06/20;03:00;03:10;0;0;0;0;0;0
10/06/20;03:10;03:20;0;0;0;0;0;0
10/06/20;03:20;03:30;0;0;0;0;0;0
10/06/20;03:30;03:40;0;0;0;0;0;0
10/06/20;03:40;03:50;0;0;0;0;0;0
10/06/20;03:50;04:00;0;0;0;0;0;0
10/06/20;04:00;04:10;0;0;0;0;0;0
10/06/20;04:10;04:20;0;0;0;0;0;0
10/06/20;04:20;04:30;0;0;0;0;0;0
10/06/20;04:30;04:40;0;0;0;0;0;0
10/06/20;04:40;04:50;0;0;0;0;0;0
10/06/20;04:50;05:00;0;0;0;0;0;0
10/06/20;05:00;05:10;0;0;0;0;0;0
10/06/20;05:10;05:20;0;0;0;0;0;0
10/06/20;05:20;05:30;0;0;0;0;0;0
10/06/20;05:30;05:40;0;0;0;0;0;0
10/06/20;05:40;05:50;0;0;0;0;0;0
10/06/20;05:50;06:00;0;0;0;0;0;0
10/06/20;06:00;06:10;0;0;0;0;0;0
10/06/20;06:10;06:20;0;0;0;0;0;0
10/06/20;06:20;06:30;0;0;0;0;0;0
10/06/20;06:30;06:40;0;0;0;0;0;0
10/06/20;06:40;06:50;0;0;0;0;0;0
10/06/20;06:50;07:00;0;0;0;0;0;0
10/06/20;07:00;07:10;0;0;0;0;0;0
10/06/20;07:10;07:20;0;0;0;0;0;0
10/06/20;07:20;07:30;0;0;0;0;0;0
10/06/20;07:30;07:40;0;0;0;0;0;0
10/06/20;07:40;07:50;0;0;0;0;0;0
10/06/20;07:50;08:00;0;0;0;0;0;0
10/06/20;08:00;08:10;28;5;1;2;2;14
10/06/20;08:10;08:20;74;12;4;4;4;35
10/06/20;08:20;08:30;75;13;4;4;4;35
10/06/20;08:30;08:40;75;12;4;4;5;34
10/06/20;08:40;08:50;74;13;4;4;4;35
10/06/20;08:50;09:00;75;12;4;4;5;34
10/06/20;09:00;09:10;74;12;4;4;4;34
10/06/20;09:10;09:20;75;13;4;4;5;34
10/06/20;09:20;09:30;74;12;3;4;4;34
10/06/20;09:30;09:40;75;13;4;5;5;34
10/06/20;09:40;09:50;75;12;4;4;4;34
10/06/20;09:50;10:00;74;13;4;4;5;34
10/06/20;10:00;10:10;75;12;4;4;5;33
10/06/20;10:10;10:20;74;12;4;4;4;34
10/06/20;10:20;10:30;75;13;4;4;5;33
10/06/20;10:30;10:40;75;12;3;4;4;34
10/06/20;10:40;10:50;74;13;4;4;5;33
10/06/20;10:50;11:00;75;12;4;4;4;34
10/06/20;11:00;11:10;74;13;4;4;5;34
10/06/20;11:10;11:20;75;12;4;4;4;33
10/06/20;11:20;11:30;74;12;4;4;5;33
10/06/20;11:30;11:40;75;13;4;4;4;34
10/06/20;11:40;11:50;74;12;3;4;5;33
10/06/20;11:50;12:00;75;13;4;4;5;34
10/06/20;12:00;12:10;74;12;4;4;4;33
10/06/20;12:10;12:20;75;13;4;4;5;34
10/06/20;12:20;12:30;74;12;4;4;4;33
10/06/20;12:30;12:40;75;12;4;4;5;34
10/06/20;12:40;12:50;74;13;4;4;4;34
10/06/20;12:50;13:00;75;12;3;4;5;33
10/06/20;13:00;13:10;74;13;4;4;4;34
10/06/20;13:10;13:20;75;12;4;4;5;34
10/06/20;13:20;13:30;74;12;4;4;5;34
10/06/20;13:30;13:40;75;13;4;4;4;34
10/06/20;13:40;13:50;74;12;4;4;5;34
10/06/20;13:50;14:00;75;13;4;4;4;34
10/06/20;14:00;14:10;74;12;3;4;5;34
10/06/20;14:10;14:20;75;13;4;4;4;34
10/06/20;14:20;14:30;74;12;4;4;5;34
10/06/20;14:30;14:40;75;12;4;4;4;34
10/06/20;14:40;14:50;74;13;4;4;5;34
10/06/20;14:50;15:00;75;12;4;4;4;34
10/06/20;15:00;15:10;75;13;4;4;5;34
10/06/20;15:10;15:20;74;12;3;4;5;34
10/06/20;15:20;15:30;74;12;4;4;4;34
10/06/20;15:30;15:40;75;13;4;4;5;35
10/06/20;15:40;15:50;74;12;4;4;4;34
10/06/20;15:50;16:00;75;13;4;4;5;34
10/06/20;16:00;16:10;74;12;4;4;4;34
10/06/20;16:10;16:20;75;13;4;4;5;33
10/06/20;16:20;16:30;74;12;4;4;4;34
10/06/20;16:30;16:40;75;12;3;4;5;34
10/06/20;16:40;16:50;74;13;4;4;4;34
10/06/20;16:50;17:00;75;12;4;4;5;34
10/06/20;17:00;17:10;74;13;4;4;5;34
10/06/20;17:10;17:20;75;12;4;4;4;34
10/06/20;17:20;17:30;74;12;4;4;5;34
10/06/20;17:30;17:40;75;13;3;4;4;34
10/06/20;17:40;17:50;74;12;4;4;5;34
10/06/20;17:50;18:00;75;13;4;4;4;34
10/06/20;18:00;18:10;75;12;4;4;5;34
10/06/20;18:10;18:20;74;13;4;4;5;35
10/06/20;18:20;18:30;75;12;4;4;4;34
10/06/20;18:30;18:40;74;12;3;4;5;35
10/06/20;18:40;18:50;74;13;4;4;4;35
10/06/20;18:50;19:00;75;12;4;4;5;34
10/06/20;19:00;19:10;75;13;4;4;4;35
10/06/20;19:10;19:20;74;12;4;4;5;34
10/06/20;19:20;19:30;75;13;4;4;5;34
10/06/20;19:30;19:40;74;12;4;4;4;34
10/06/20;19:40;19:50;75;12;3;4;5;34
10/06/20;19:50;20:00;75;13;4;5;4;35
10/06/20;20:00;20:10;74;12;4;4;5;34
10/06/20;20:10;20:20;75;13;4;4;4;34
10/06/20;20:20;20:30;75;12;4;4;5;35
10/06/20;20:30;20:40;75;13;4;4;4;34
10/06/20;20:40;20:50;74;12;4;4;5;35
10/06/20;20:50;21:00;75;13;4;4;4;35
10/06/20;21:00;21:10;75;12;3;4;5;34
10/06/20;21:10;21:20;74;12;4;4;4;35
10/06/20;21:20;21:30;75;13;4;4;5;35
10/06/20;21:30;21:40;75;12;4;4;4;34
10/06/20;21:40;21:50;75;13;4;4;5;35
10/06/20;21:50;22:00;74;12;4;4;4;34
10/06/20;22:00;22:10;75;13;4;4;5;35
10/06/20;22:10;22:20;75;12;4;4;4;35
10/06/20;22:20;22:30;74;13;4;4;5;34
10/06/20;22:30;22:40;75;12;4;4;4;35
10/06/20;22:40;22:50;75;13;4;4;5;35
10/06/20;22:50;23:00;74;12;4;4;4;34
10/06/20;23:00;23:10;75;12;3;4;4;34
10/06/20;23:10;23:20;75;13;4;4;5;35
10/06/20;23:20;23:30;74;12;4;5;4;34
10/06/20;23:30;23:40;75;13;4;4;5;35
10/06/20;23:40;23:50;75;12;4;4;4;34
10/06/20;23:50;00:00;74;13;4;4;5;34
10/07/20;00:00;00:10;75;12;4;4;4;34
10/07/20;00:10;00:20;75;13;4;4;5;34
10/07/20;00:20;00:30;75;12;4;4;4;34
10/07/20;00:30;00:40;75;13;4;4;5;34
10/07/20;00:40;00:50;74;12;4;4;4;34
10/07/20;00:50;01:00;75;12;4;4;4;34
10/07/20;01:00;01:10;75;13;4;4;5;35
10/07/20;01:10;01:20;75;12;4;4;4;34
10/07/20;01:20;01:30;75;13;4;4;5;34
10/07/20;01:30;01:40;75;12;4;4;4;34
10/07/20;01:40;01:50;75;13;4;4;5;35
10/07/20;01:50;02:00;74;12;4;4;4;34
10/07/20;02:00;02:10;75;13;4;4;5;34
10/07/20;02:10;02:20;75;12;4;4;4;34
10/07/20;02:20;02:30;75;13;4;4;5;35
10/07/20;02:30;02:40;75;12;4;5;4;34
10/07/20;02:40;02:50;75;13;4;4;4;34
10/07/20;02:50;03:00;75;12;4;4;5;35
10/07/20;03:00;03:10;74;13;4;4;4;34
10/07/20;03:10;03:20;75;12;4;4;5;35
10/07/20;03:20;03:30;75;13;4;4;4;34
10/07/20;03:30;03:40;75;12;3;4;5;34
10/07/20;03:40;03:50;75;13;4;4;4;35
10/07/20;03:50;04:00;75;12;4;4;5;34
10/07/20;04:00;04:10;75;13;4;4;4;35
10/07/20;04:10;04:20;75;12;4;4;4;34
10/07/20;04:20;04:30;74;12;4;4;5;35
10/07/20;04:30;04:40;75;13;4;4;4;34
10/07/20;04:40;04:50;75;12;4;4;5;35
10/07/20;04:50;05:00;75;13;4;4;4;34
10/07/20;05:00;05:10;75;12;4;4;5;35
10/07/20;05:10;05:20;75;13;4;5;4;34
10/07/20;05:20;05:30;75;12;4;4;5;35
10/07/20;05:30;05:40;75;13;4;4;4;34
10/07/20;05:40;05:50;75;12;4;4;5;34
10/07/20;05:50;06:00;75;13;4;4;4;35
10/07/20;06:00;06:10;74;12;4;4;5;34
10/07/20;06:10;06:20;75;13;4;4;4;34
10/07/20;06:20;06:30;75;12;4;4;4;35
10/07/20;06:30;06:40;75;13;4;4;5;34
10/07/20;06:40;06:50;75;12;4;4;4;34
10/07/20;06:50;07:00;75;13;4;4;5;35
10/07/20;07:00;07:10;75;12;4;4;4;34
10/07/20;07:10;07:20;75;13;4;4;5;34
10/07/20;07:20;07:30;75;12;4;4;4;34
10/07/20;07:30;07:40;75;13;4;4;5;33
10/07/20;07:40;07:50;74;12;3;4;4;34
10/07/20;07:50;08:00;75;13;4;4;5;34
10/07/20;08:00;08:10;75;12;4;4;5;34
10/07/20;08:10;08:20;75;13;4;4;4;34
10/07/20;08:20;08:30;75;12;4;4;5;33
10/07/20;08:30;08:40;75;13;4;4;4;34
10/07/20;08:40;08:50;75;12;4;4;5;33
10/07/20;08:50;09:00;74;12;4;4;4;34
10/07/20;09:00;09:10;75;13;4;4;5;33
10/07/20;09:10;09:20;75;12;4;4;5;33
10/07/20;09:20;09:30;75;13;3;4;4;34
10/07/20;09:30;09:40;75;12;4;4;5;33
10/07/20;09:40;09:50;74;13;4;4;4;34
10/07/20;09:50;10:00;75;12;4;4;5;33
10/07/20;10:00;10:10;75;13;4;4;4;34
10/07/20;10:10;10:20;75;12;4;4;5;33
10/07/20;10:20;10:30;75;13;4;4;5;34
10/07/20;10:30;10:40;74;12;4;4;4;33
10/07/20;10:40;10:50;75;13;4;4;5;34
10/07/20;10:50;11:00;75;12;4;4;4;33
10/07/20;11:00;11:10;75;13;3;4;5;33
10/07/20;11:10;11:20;74;12;4;4;4;34
10/07/20;11:20;11:30;75;12;4;4;5;33
10/07/20;11:30;11:40;75;13;4;4;5;33
10/07/20;11:40;11:50;74;12;4;4;4;34
10/07/20;11:50;12:00;75;13;4;4;5;33
10/07/20;12:00;12:10;75;12;4;4;4;34
10/07/20;12:10;12:20;74;13;3;4;5;34
10/07/20;12:20;12:30;75;12;4;4;4;33
