Date,active power,Active energy,Energy phase 1,Energy phase 2,Energy phase 3,Reactive power
10/6/2020 00:00,0,0,0,0,0,0
10/6/2020 00:10,0,0,0,0,0,0
10/6/2020 00:20,0,0,0,0,0,0
10/6/2020 00:30,0,0,0,0,0,0
10/6/2020 00:40,0,0,0,0,0,0
10/6/2020 00:50,0,0,0,0,0,0
10/6/2020 01:00,0,0,0,0,0,0
10/6/2020 01:10,0,0,0,0,0,0
10/6/2020 01:20,0,0,0,0,0,0
10/6/2020 01:30,0,0,0,0,0,0
10/6/2020 01:40,0,0,0,0,0,0
10/6/2020 01:50,0,0,0,0,0,0
10/6/2020 02:00,0,0,0,0,0,0
10/6/2020 02:10,0,0,0,0,0,0
10/6/2020 02:20,0,0,0,0,0,0
10/6/2020 02:30,0,0,0,0,0,0
10/6/2020 02:40,0,0,0,0,0,0
10/6/2020 02:50,0,0,0,0,0,0
10/6/2020 03:00,0,0,0,0,0,0
10/6/2020 03:10,0,0,0,0,0,0
10/6/2020 03:20,0,0,0,0,0,0
10/6/2020 03:30,0,0,0,0,0,0
10/6/2020 03:40,0,0,0,0,0,0
10/6/2020 03:50,0,0,0,0,0,0
10/6/2020 04:00,0,0,0,0,0,0
10/6/2020 04:10,0,0,0,0,0,0
10/6/2020 04:20,0,0,0,0,0,0
10/6/2020 04:30,0,0,0,0,0,0
10/6/2020 04:40,0,0,0,0,0,0
10/6/2020 04:50,0,0,0,0,0,0
10/6/2020 05:00,0,0,0,0,0,0
10/6/2020 05:10,0,0,0,0,0,0
10/6/2020 05:20,0,0,0,0,0,0
10/6/2020 05:30,0,0,0,0,0,0
10/6/2020 05:40,0,0,0,0,0,0
10/6/2020 05:50,0,0,0,0,0,0
10/6/2020 06:00,0,0,0,0,0,0
10/6/2020 06:10,0,0,0,0,0,0
10/6/2020 06:20,0,0,0,0,0,0
10/6/2020 06:30,0,0,0,0,0,0
10/6/2020 06:40,0,0,0,0,0,0
10/6/2020 06:50,0,0,0,0,0,0
10/6/2020 07:00,0,0,0,0,0,0
10/6/2020 07:10,0,0,0,0,0,0
10/6/2020 07:20,0,0,0,0,0,0
10/6/2020 07:30,0,0,0,0,0,0
10/6/2020 07:40,0,0,0,0,0,0
10/6/2020 07:50,0,0,0,0,0,0
10/6/2020 08:00,28,5,1,2,2,14
10/6/2020 08:10,74,12,4,4,4,35
10/6/2020 08:20,75,13,4,4,4,35
10/6/2020 08:30,75,12,4,4,5,34
10/6/2020 08:40,74,13,4,4,4,35
10/6/2020 08:50,75,12,4,4,5,34
10/6/2020 09:00,74,12,4,4,4,34
10/6/2020 09:10,75,13,4,4,5,34
10/6/2020 09:20,74,12,3,4,4,34
10/6/2020 09:30,75,13,4,5,5,34
10/6/2020 09:40,75,12,4,4,4,34
10/6/2020 09:50,74,13,4,4,5,34
10/6/2020 10:00,75,12,4,4,5,33
10/6/2020 10:10,74,12,4,4,4,34
10/6/2020 10:20,75,13,4,4,5,33
10/6/2020 10:30,75,12,3,4,4,34
10/6/2020 10:40,74,13,4,4,5,33
10/6/2020 10:50,75,12,4,4,4,34
10/6/2020 11:00,74,13,4,4,5,34
10/6/2020 11:10,75,12,4,4,4,33
10/6/2020 11:20,74,12,4,4,5,33
10/6/2020 11:30,75,13,4,4,4,34
10/6/2020 11:40,74,12,3,4,5,33
10/6/2020 11:50,75,13,4,4,5,34
10/6/2020 12:00,74,12,4,4,4,33
10/6/2020 12:10,75,13,4,4,5,34
10/6/2020 12:20,74,12,4,4,4,33
10/6/2020 12:30,75,12,4,4,5,34
10/6/2020 12:40,74,13,4,4,4,34
10/6/2020 12:50,75,12,3,4,5,33
10/6/2020 13:00,74,13,4,4,4,34
10/6/2020 13:10,75,12,4,4,5,34
10/6/2020 13:20,74,12,4,4,5,34
10/6/2020 13:30,75,13,4,4,4,34
10/6/2020 13:40,74,12,4,4,5,34
10/6/2020 13:50,75,13,4,4,4,34
10/6/2020 14:00,74,12,3,4,5,34
10/6/2020 14:10,75,13,4,4,4,34
10/6/2020 14:20,74,12,4,4,5,34
10/6/2020 14:30,75,12,4,4,4,34
10/6/2020 14:40,74,13,4,4,5,34
10/6/2020 14:50,75,12,4,4,4,34
10/6/2020 15:00,75,13,4,4,5,34
10/6/2020 15:10,74,12,3,4,5,34
10/6/2020 15:20,74,12,4,4,4,34
10/6/2020 15:30,75,13,4,4,5,35
10/6/2020 15:40,74,12,4,4,4,34
10/6/2020 15:50,75,13,4,4,5,34
10/6/2020 16:00,74,12,4,4,4,34
10/6/2020 16:10,75,13,4,4,5,33
10/6/2020 16:20,74,12,4,4,4,34
10/6/2020 16:30,75,12,3,4,5,34
10/6/2020 16:40,74,13,4,4,4,34
10/6/2020 16:50,75,12,4,4,5,34
10/6/2020 17:00,74,13,4,4,5,34
10/6/2020 17:10,75,12,4,4,4,34
10/6/2020 17:20,74,12,4,4,5,34
10/6/2020 17:30,75,13,3,4,4,34
10/6/2020 17:40,74,12,4,4,5,34
10/6/2020 17:50,75,13,4,4,4,34
10/6/2020 18:00,75,12,4,4,5,34
10/6/2020 18:10,74,13,4,4,5,35
10/6/2020 18:20,75,12,4,4,4,34
10/6/2020 18:30,74,12,3,4,5,35
10/6/2020 18:40,74,13,4,4,4,35
10/6/2020 18:50,75,12,4,4,5,34
10/6/2020 19:00,75,13,4,4,4,35
10/6/2020 19:10,74,12,4,4,5,34
10/6/2020 19:20,75,13,4,4,5,34
10/6/2020 19:30,74,12,4,4,4,34
10/6/2020 19:40,75,12,3,4,5,34
10/6/2020 19:50,75,13,4,5,4,35
10/6/2020 20:00,74,12,4,4,5,34
10/6/2020 20:10,75,13,4,4,4,34
10/6/2020 20:20,75,12,4,4,5,35
10/6/2020 20:30,75,13,4,4,4,34
10/6/2020 20:40,74,12,4,4,5,35
10/6/2020 20:50,75,13,4,4,4,35
10/6/2020 21:00,75,12,3,4,5,34
10/6/2020 21:10,74,12,4,4,4,35
10/6/2020 21:20,75,13,4,4,5,35
10/6/2020 21:30,75,12,4,4,4,34
10/6/2020 21:40,75,13,4,4,5,35
10/6/2020 21:50,74,12,4,4,4,34
10/6/2020 22:00,75,13,4,4,5,35
10/6/2020 22:10,75,12,4,4,4,35
10/6/2020 22:20,74,13,4,4,5,34
10/6/2020 22:30,75,12,4,4,4,35
10/6/2020 22:40,75,13,4,4,5,35
10/6/2020 22:50,74,12,4,4,4,34
10/6/2020 23:00,75,12,3,4,4,34
10/6/2020 23:10,75,13,4,4,5,35
10/6/2020 23:20,74,12,4,5,4,34
10/6/2020 23:30,75,13,4,4,5,35
10/6/2020 23:40,75,12,4,4,4,34
10/6/2020 23:50,74,13,4,4,5,34
10/7/2020 00:00,75,12,4,4,4,34
10/7/2020 00:10,75,13,4,4,5,34
10/7/2020 00:20,75,12,4,4,4,34
10/7/2020 00:30,75,13,4,4,5,34
10/7/2020 00:40,74,12,4,4,4,34
10/7/2020 00:50,75,12,4,4,4,34
10/7/2020 01:00,75,13,4,4,5,35
10/7/2020 01:10,75,12,4,4,4,34
10/7/2020 01:20,75,13,4,4,5,34
10/7/2020 01:30,75,12,4,4,4,34
10/7/2020 01:40,75,13,4,4,5,35
10/7/2020 01:50,74,12,4,4,4,34
10/7/2020 02:00,75,13,4,4,5,34
10/7/2020 02:10,75,12,4,4,4,34
10/7/2020 02:20,75,13,4,4,5,35
10/7/2020 02:30,75,12,4,5,4,34
10/7/2020 02:40,75,13,4,4,4,34
10/7/2020 02:50,75,12,4,4,5,35
10/7/2020 03:00,74,13,4,4,4,34
10/7/2020 03:10,75,12,4,4,5,35
10/7/2020 03:20,75,13,4,4,4,34
10/7/2020 03:30,75,12,3,4,5,34
10/7/2020 03:40,75,13,4,4,4,35
10/7/2020 03:50,75,12,4,4,5,34
10/7/2020 04:00,75,13,4,4,4,35
10/7/2020 04:10,75,12,4,4,4,34
10/7/2020 04:20,74,12,4,4,5,35
10/7/2020 04:30,75,13,4,4,4,34
10/7/2020 04:40,75,12,4,4,5,35
10/7/2020 04:50,75,13,4,4,4,34
10/7/2020 05:00,75,12,4,4,5,35
10/7/2020 05:10,75,13,4,5,4,34
10/7/2020 05:20,75,12,4,4,5,35
10/7/2020 05:30,75,13,4,4,4,34
10/7/2020 05:40,75,12,4,4,5,34
10/7/2020 05:50,75,13,4,4,4,35
10/7/2020 06:00,74,12,4,4,5,34
10/7/2020 06:10,75,13,4,4,4,34
10/7/2020 06:20,75,12,4,4,4,35
10/7/2020 06:30,75,13,4,4,5,34
10/7/2020 06:40,75,12,4,4,4,34
10/7/2020 06:50,75,13,4,4,5,35
10/7/2020 07:00,75,12,4,4,4,34
10/7/2020 07:10,75,13,4,4,5,34
10/7/2020 07:20,75,12,4,4,4,34
10/7/2020 07:30,75,13,4,4,5,33
10/7/2020 07:40,74,12,3,4,4,34
10/7/2020 07:50,75,13,4,4,5,34
10/7/2020 08:00,75,12,4,4,5,34
10/7/2020 08:10,75,13,4,4,4,34
10/7/2020 08:20,75,12,4,4,5,33
10/7/2020 08:30,75,13,4,4,4,34
10/7/2020 08:40,75,12,4,4,5,33
10/7/2020 08:50,74,12,4,4,4,34
10/7/2020 09:00,75,13,4,4,5,33
10/7/2020 09:10,75,12,4,4,5,33
10/7/2020 09:20,75,13,3,4,4,34
10/7/2020 09:30,75,12,4,4,5,33
10/7/2020 09:40,74,13,4,4,4,34
10/7/2020 09:50,75,12,4,4,5,33
10/7/2020 10:00,75,13,4,4,4,34
10/7/2020 10:10,75,12,4,4,5,33
10/7/2020 10:20,75,13,4,4,5,34
10/7/2020 10:30,74,12,4,4,4,33
10/7/2020 10:40,75,13,4,4,5,34
10/7/2020 10:50,75,12,4,4,4,33
10/7/2020 11:00,75,13,3,4,5,33
10/7/2020 11:10,74,12,4,4,4,34
10/7/2020 11:20,75,12,4,4,5,33
10/7/2020 11:30,75,13,4,4,5,33
10/7/2020 11:40,74,12,4,4,4,34
10/7/2020 11:50,75,13,4,4,5,33
10/7/2020 12:00,75,12,4,4,4,34
10/7/2020 12:10,74,13,3,4,5,34
10/7/2020 12:20,75,12,4,4,4,33
10/7/2020 12:30,75,13,4,4,5,34
10/7/2020 12:40,74,12,4,4,4,34
10/7/2020 12:50,75,12,4,4,5,34
10/7/2020 13:00,75,13,4,4,5,34
10/7/2020 13:10,74,12,4,4,4,34
10/7/2020 13:20,75,13,4,4,5,34
10/7/2020 13:30,74,12,4,4,4,34
10/7/2020 13:40,75,13,3,4,5,34
10/7/2020 13:50,75,12,4,4,4,34
10/7/2020 14:00,74,12,4,5,5,34
10/7/2020 14:10,75,13,4,4,4,34
10/7/2020 14:20,74,12,4,4,5,34
10/7/2020 14:30,75,13,4,4,4,35
10/7/2020 14:40,75,12,4,4,5,34
10/7/2020 14:50,74,13,4,4,5,34
10/7/2020 15:00,75,12,3,4,4,34
10/7/2020 15:10,75,13,4,4,5,35
10/7/2020 15:20,74,12,4,4,4,34
10/7/2020 15:30,75,12,4,4,5,34
10/7/2020 15:40,74,13,4,4,4,34
10/7/2020 15:50,75,12,4,4,5,35
10/7/2020 16:00,75,13,4,4,4,34
10/7/2020 16:10,74,12,4,4,5,34
10/7/2020 16:20,75,13,3,4,4,35
10/7/2020 16:30,74,12,4,4,5,34
10/7/2020 16:40,75,12,4,4,4,34
10/7/2020 16:50,74,13,4,4,5,34
10/7/2020 17:00,75,12,4,4,5,35
10/7/2020 17:10,74,13,4,4,4,34
10/7/2020 17:20,75,12,4,4,5,34
10/7/2020 17:30,74,12,3,4,4,34
10/7/2020 17:40,75,13,4,4,5,34
10/7/2020 17:50,75,12,4,4,4,35
10/7/2020 18:00,74,13,4,4,5,34
10/7/2020 18:10,75,12,4,4,4,34
10/7/2020 18:20,74,13,3,4,5,34
10/7/2020 18:30,75,12,4,4,5,35
10/7/2020 18:40,74,12,4,4,4,34
10/7/2020 18:50,75,13,4,4,5,34
10/7/2020 19:00,74,12,4,4,4,34
10/7/2020 19:10,75,13,4,4,5,34
10/7/2020 19:20,74,12,3,4,4,34
10/7/2020 19:30,75,13,4,5,5,35
10/7/2020 19:40,75,12,4,4,4,34
10/7/2020 19:50,74,12,4,4,5,34
10/7/2020 20:00,75,13,4,4,4,34
10/7/2020 20:10,75,12,4,4,5,35
10/7/2020 20:20,74,13,4,4,4,34
10/7/2020 20:30,75,12,4,4,5,35
10/7/2020 20:40,75,13,3,4,4,35
10/7/2020 20:50,74,12,4,4,5,34
10/7/2020 21:00,75,13,4,4,4,35
10/7/2020 21:10,75,12,4,4,5,34
10/7/2020 21:20,74,12,4,4,4,35
10/7/2020 21:30,75,13,4,4,5,35
10/7/2020 21:40,75,12,4,4,4,34
10/7/2020 21:50,74,13,4,4,5,34
10/7/2020 22:00,75,12,4,4,4,34
10/7/2020 22:10,75,13,4,4,5,35
10/7/2020 22:20,74,12,3,4,4,34
10/7/2020 22:30,75,13,4,4,5,34
10/7/2020 22:40,75,12,4,4,4,34
10/7/2020 22:50,74,12,4,5,5,35
10/7/2020 23:00,75,13,4,4,4,34
10/7/2020 23:10,75,12,4,4,5,34
10/7/2020 23:20,74,13,4,4,4,34
10/7/2020 23:30,75,12,4,4,4,35
10/7/2020 23:40,75,13,4,4,5,34
10/7/2020 23:50,74,12,4,4,4,34
10/8/2020 00:00,75,13,4,4,5,35
10/8/2020 00:10,74,12,4,4,4,34
10/8/2020 00:20,75,12,4,4,5,34
10/8/2020 00:30,75,13,4,4,4,35
10/8/2020 00:40,74,12,4,4,4,34
10/8/2020 00:50,75,13,3,4,5,35
10/8/2020 01:00,75,12,4,4,4,34
10/8/2020 01:10,74,13,4,5,5,35
10/8/2020 01:20,75,12,4,4,4,34
10/8/2020 01:30,74,12,4,4,5,34
10/8/2020 01:40,75,13,4,4,4,34
10/8/2020 01:50,75,12,4,4,4,34
10/8/2020 02:00,74,13,4,4,5,34
10/8/2020 02:10,75,12,4,4,4,34
10/8/2020 02:20,75,13,4,4,5,34
10/8/2020 02:30,74,12,4,4,4,34
10/8/2020 02:40,75,13,4,4,5,35
10/8/2020 02:50,75,12,4,4,4,34
10/8/2020 03:00,75,13,4,4,4,34
10/8/2020 03:10,74,12,3,5,5,34
10/8/2020 03:20,75,12,4,4,4,34
10/8/2020 03:30,75,13,4,4,5,34
10/8/2020 03:40,75,12,4,4,4,34
10/8/2020 03:50,74,13,4,4,5,35
10/8/2020 04:00,75,12,4,4,4,34
10/8/2020 04:10,75,13,4,4,4,34
10/8/2020 04:20,75,12,4,4,5,34
10/8/2020 04:30,74,13,4,5,4,34
10/8/2020 04:40,75,12,4,4,5,34
10/8/2020 04:50,75,13,4,4,4,34
10/8/2020 05:00,75,12,4,4,4,34
10/8/2020 05:10,74,12,4,4,5,34
10/8/2020 05:20,75,13,4,4,4,34
10/8/2020 05:30,75,12,4,4,5,34
10/8/2020 05:40,74,13,3,4,4,34
10/8/2020 05:50,75,12,4,4,4,34
10/8/2020 06:00,75,13,4,5,5,34
10/8/2020 06:10,75,12,4,4,4,34
10/8/2020 06:20,74,13,4,4,5,34
10/8/2020 06:30,75,12,4,4,4,34
10/8/2020 06:40,75,13,4,4,4,34
10/8/2020 06:50,74,12,4,4,5,34
10/8/2020 07:00,75,12,4,4,4,33
10/8/2020 07:10,75,13,4,4,5,34
10/8/2020 07:20,75,12,4,4,4,34
10/8/2020 07:30,74,13,4,4,5,34
10/8/2020 07:40,75,12,4,5,4,35
10/8/2020 07:50,75,13,4,4,5,34
10/8/2020 08:00,75,12,3,4,4,34
10/8/2020 08:10,74,13,4,4,5,34
10/8/2020 08:20,75,12,4,4,4,33
10/8/2020 08:30,75,13,4,4,5,34
