Biomass type;M;VM;FC;A;C;O;H;N;S;T (°C);AFR (kg/kg);Wnet (kW)
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;600;2;22.01
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;600;2.3;14.11
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;900;1.8;116.73
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;900;2;102.93
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;900;2.3;88.26
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;1200;1.8;155.36
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;1200;2;145.51
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;1200;2.3;134.60
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;1500;1.8;192.90
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;1500;2;187.10
Olive wood;6.6;79.6;17.2;3.2;47.432;43.4632;5.2272;0.6776;0;1500;2.3;180.07
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;600;1.8;84.31
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;600;2;77.82
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;600;2.3;70.80
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;900;1.8;183.73
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;900;2;172.86
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;900;2.3;160.41
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;1200;1.8;218.82
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;1200;2;212.40
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;1200;2.3;204.22
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;1500;1.8;252.55
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;1500;2;250.48
Pine chips;7.6;72.4;21.6;6;49.632;38.07;5.734;0.47;0.094;1500;2.3;246.62
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;600;1.8;83.30
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;600;2;77.46
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;600;2.3;71.12
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;900;1.8;173.68
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;900;2;163.84
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;900;2.3;152.54
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;1200;1.8;206.60
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;1200;2;200.88
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;1200;2.3;193.52
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;1500;1.8;238.14
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;1500;2;236.43
Pine sawdust;15.3;83.1;16.8;0.1;50.949;42.8571;5.994;0.0999;0;1500;2.3;233.07
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;600;1.8;25.77
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;600;2;18.67
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;600;2.3;11.19
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;900;1.8;105.64
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;900;2;92.54
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;900;2.3;78.64
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;1200;1.8;142.32
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;1200;2;132.90
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;1200;2.3;122.51
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;1500;1.8;177.99
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;1500;2;172.34
Eucalyptus bark;12;78;17.2;4.8;46.3624;43.1256;5.4264;0.2856;0;1500;2.3;165.59
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;600;1.8;0.00
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;600;2;0.00
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;600;2.3;0.00
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;900;1.8;41.06
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;900;2;33.06
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;900;2.3;24.66
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1200;1.8;61.74
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1200;2;55.76
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1200;2.3;49.33
