Date;start;active power;Active energy;Energy phase 1;Energy phase 2;Energy phase 3;Reactive power
10/06/2020;00:00;66;11;3;4;3;48
10/06/2020;00:10;65;11;4;4;4;49
10/06/2020;00:20;65;11;4;4;3;49
10/06/2020;00:30;65;10;4;3;4;49
10/06/2020;00:40;66;11;3;4;3;49
10/06/2020;00:50;65;11;4;4;3;50
10/06/2020;01:00;65;11;4;3;4;50
10/06/2020;01:10;66;11;4;4;3;50
10/06/2020;01:20;65;11;4;4;3;50
10/06/2020;01:30;66;11;3;4;4;50
10/06/2020;01:40;65;11;4;3;3;50
10/06/2020;01:50;66;11;4;4;4;51
10/06/2020;02:00;65;11;4;4;3;50
10/06/2020;02:10;66;11;3;4;3;51
10/06/2020;02:20;65;10;4;3;4;51
10/06/2020;02:30;65;11;4;4;3;50
10/06/2020;02:40;66;11;4;4;4;51
10/06/2020;02:50;65;11;4;4;3;51
10/06/2020;03:00;66;11;3;3;3;50
10/06/2020;03:10;65;11;4;4;4;51
10/06/2020;03:20;66;11;4;4;3;51
10/06/2020;03:30;61;10;3;3;3;50
10/06/2020;03:40;55;9;4;3;3;50
10/06/2020;03:50;56;10;3;4;3;50
10/06/2020;04:00;55;9;3;3;3;49
10/06/2020;04:10;55;9;3;3;3;50
10/06/2020;04:20;59;10;4;3;3;50
10/06/2020;04:30;66;11;3;4;3;51
10/06/2020;04:40;65;11;4;4;4;51
10/06/2020;04:50;66;11;4;3;3;51
10/06/2020;05:00;65;10;4;4;3;51
10/06/2020;05:10;66;11;4;4;4;51
10/06/2020;05:20;65;11;3;4;3;51
10/06/2020;05:30;66;11;4;3;4;51
10/06/2020;05:40;65;11;4;4;3;50
10/06/2020;05:50;65;11;3;4;4;51
10/06/2020;06:00;66;11;4;4;3;50
10/06/2020;06:10;65;11;4;3;3;50
10/06/2020;06:20;66;11;4;4;4;50
10/06/2020;06:30;65;11;3;4;3;50
10/06/2020;06:40;65;10;4;4;4;51
10/06/2020;06:50;66;11;4;3;3;50
10/06/2020;07:00;65;11;4;4;4;50
10/06/2020;07:10;65;11;3;4;3;49
10/06/2020;07:20;65;11;4;4;3;48
10/06/2020;07:30;65;11;4;3;4;48
10/06/2020;07:40;65;11;4;4;3;47
10/06/2020;07:50;67;11;4;4;3;46
