dataid,local_10min,cleaning_systemC,cooling_systemC,lightning_system,milk_pumpC,vacuum_pumpC,osmoseF,coldroomF,water_pumpF,cooling_system_R,RO1,RO2,vacuum_pump1,vacuum_pump2,lightning_system_R
1,30/05/2022 08:00,6.5026,37.4616,17.7129,4.7268,0.7136,,,,,,,,,
1,30/05/2022 08:10,6.5778,23.4686,2.7034,4.7359,0.8116,,,,,,,,,
1,30/05/2022 08:20,6.535,37.7116,14.2423,4.7402,0.7909,,,,,,,,,
1,30/05/2022 08:30,6.5916,23.6902,14.4115,4.743,0.781,,,,,,,,,
1,30/05/2022 08:40,6.5561,28.1167,8.443,4.7247,0.7796,,,,,,,,,
1,30/05/2022 08:50,6.5865,33.3129,2.7627,4.7149,0.783,,,,,,,,,
1,30/05/2022 09:00,6.7757,23.6161,8.5969,4.6571,0.7545,,,,,,,,,
1,30/05/2022 09:10,6.7882,37.4374,1.5006,4.5827,0.7442,,,,,,,,,
1,30/05/2022 09:20,6.8856,23.7299,1.478,4.5781,0.7439,,,,,,,,,
1,30/05/2022 09:30,6.913,37.3732,15.9417,4.5953,0.6473,,,,,,,,,
1,30/05/2022 09:40,7.004,23.668,14.2213,4.594,0.6253,,,,,,,,,
1,30/05/2022 09:50,6.9183,37.7089,9.0031,4.6478,0.6581,,,,,,,,,
1,30/05/2022 10:00,6.9675,23.7997,1.3057,4.6624,0.6571,,,,,,,,,
1,30/05/2022 10:10,6.9054,37.8484,1.2169,4.6659,0.7943,,,,,,,,,
1,30/05/2022 10:20,6.9704,23.927,18.7948,4.682,0.8085,,,,,,,,,
1,30/05/2022 10:30,7.0392,25.0399,1.2316,4.6605,0.8184,,,,,,,,,
1,30/05/2022 10:40,6.9746,36.1485,7.4014,4.6481,0.8007,,,,,,,,,
1,30/05/2022 10:50,6.969,23.9066,0.9172,4.6695,0.8023,,,,,,,,,
1,30/05/2022 11:00,6.8846,38.0157,0.6588,4.6588,0.8055,,,,,,,,,
1,30/05/2022 11:10,6.9327,24.0874,6.9815,4.6811,0.8213,,,,,,,,,
1,30/05/2022 11:20,6.8719,37.7171,6.342,4.6434,0.8355,,,,,,,,,
1,30/05/2022 11:30,6.9226,24.1645,16.3158,4.6929,0.8261,,,,,,,,,
1,30/05/2022 11:40,6.868,38.5943,29.002,4.6985,0.8735,,,,,,,,,
1,30/05/2022 11:50,6.8873,24.2418,7.7506,4.6839,0.8888,,,,,,,,,
1,30/05/2022 12:00,6.9118,36.8714,50.9089,4.6601,0.8486,,,,,,,,,
1,30/05/2022 12:10,6.8799,25.4665,0.3105,4.658,0.8284,,,,,,,,,
1,30/05/2022 12:20,6.5361,344.2273,0.0087,4.4154,0.8486,,,,,,,,,
1,30/05/2022 12:30,5.6635,1048.5496,12.6374,3.7932,0.8556,,,,,,,,,
1,30/05/2022 12:40,6.9036,23.3681,7.58,4.6758,0.8752,,,,,,,,,
1,30/05/2022 12:50,6.8583,37.6659,0.1359,4.6844,0.882,,,,,,,,,
1,30/05/2022 13:00,6.8763,23.7939,4.661,4.6854,0.9065,,,,,,,,,
1,30/05/2022 13:10,6.8341,38.1321,0.1557,4.6762,0.9049,,,,,,,,,
1,30/05/2022 13:20,6.8677,23.9048,0.2593,4.6832,0.8879,,,,,,,,,
1,30/05/2022 13:30,6.9889,23.6391,0.1961,4.6082,0.8837,,,,,,,,,
1,30/05/2022 13:40,6.8898,37.3867,0.2256,4.6372,0.827,,,,,,,,,
1,30/05/2022 13:50,6.9223,24.0159,0.3352,4.6537,0.8538,,,,,,,,,
1,30/05/2022 14:00,6.8661,37.863,0.5346,4.6447,0.8918,,,,,,,,,
1,30/05/2022 14:10,6.8879,24.0902,29.4062,4.6606,0.8956,,,,,,,,,
1,30/05/2022 14:20,6.8298,37.9378,16.3468,4.644,0.8876,,,,,,,,,
1,30/05/2022 14:30,6.8761,24.1869,14.6608,4.631,0.8953,,,,,,,,,
1,30/05/2022 14:40,6.8267,38.5069,12.5577,4.6407,0.8923,,,,,,,,,
1,30/05/2022 14:50,6.8983,24.353,8.7088,4.6678,0.9473,,,,,,,,,
1,30/05/2022 15:00,6.8038,36.1615,11.6574,4.652,0.942,,,,,,,,,
1,30/05/2022 15:10,6.8467,26.8572,8.422,4.6376,0.9791,,,,,,,,,
1,30/05/2022 15:20,7.1115,24.3796,27.4576,4.5644,0.9409,,,,,,,,,
1,30/05/2022 15:30,8.97,35.0736,85.2501,5.6483,0.9434,,,,,,,,,
1,30/05/2022 15:40,9.3312,21.3664,85.529,55.8332,2696.3048,,,,,,,,,
1,30/05/2022 15:50,7.3794,1697.552,96.3205,59.4221,2995.483,,,,,,,,,
1,30/05/2022 16:00,6.4948,2356.4777,82.0045,10.4412,2994.6167,,,,,,,,,
1,30/05/2022 16:10,6.6217,2332.8424,88.7307,58.3848,2997.1664,,,,,,,,,
1,30/05/2022 16:20,6.486,2324.8299,87.0402,17.4715,2987.7603,,,,,,,,,
1,30/05/2022 16:30,6.567,2329.0814,93.5012,45.0258,2988.3241,,,,,,,,,
1,30/05/2022 16:40,8.4735,641.048,95.6776,40.0226,2986.9639,,,,,,,,,
1,30/05/2022 16:50,8.9554,231.0401,101.3998,33.5403,2987.2391,,,,,,,,,
1,30/05/2022 17:00,6.4769,2355.0376,77.6719,31.896,2990.6276,,,,,,,,,
1,30/05/2022 17:10,6.4492,2343.4786,81.809,23.4686,2994.9647,,,,,,,,,
1,30/05/2022 17:20,5.8438,2497.2333,88.7057,48.2881,2989.3371,,,,,,,,,
1,30/05/2022 17:30,6.6699,963.6347,97.0574,12.4825,2987.5231,,,,,,,,,
1,30/05/2022 17:40,7.9391,22.3479,87.7998,13.22,316.7473,,,,,,,,,
1,30/05/2022 17:50,7.8241,36.0699,32.6942,4.5599,1.1234,,,,,,,,,
1,30/05/2022 18:00,7.6017,22.9532,10.4236,4.587,1.1178,,,,,,,,,
1,30/05/2022 18:10,6.0904,1098.6117,1.5411,3.7901,1.1328,,,,,,,,,
1,30/05/2022 18:20,7.5405,23.0672,24.2603,4.5942,1.1737,,,,,,,,,
1,30/05/2022 18:30,7.5851,36.8106,17.9552,4.5732,1.1767,,,,,,,,,
1,30/05/2022 18:40,7.6048,23.2295,35.201,4.5691,1.1462,,,,,,,,,
1,30/05/2022 18:50,7.6134,26.1378,28.9691,4.5757,1.136,,,,,,,,,
1,30/05/2022 19:00,7.5734,34.6633,42.3254,4.5866,1.1516,,,,,,,,,
1,30/05/2022 19:10,7.6265,23.5111,36.8893,4.5918,1.1425,,,,,,,,,
1,30/05/2022 19:20,7.5585,37.401,25.9594,4.6038,1.1415,,,,,,,,,
1,30/05/2022 19:30,7.5543,24.0102,28.7361,4.6322,1.1645,,,,,,,,,
1,30/05/2022 19:40,7.5188,38.36,49.8567,4.6312,1.2497,,,,,,,,,
1,30/05/2022 19:50,7.5771,23.9186,33.3713,4.6185,1.2449,,,,,,,,,
1,30/05/2022 20:00,7.5444,37.8582,41.6058,4.5859,1.2059,,,,,,,,,
1,30/05/2022 20:10,7.5839,23.9274,37.2507,4.6024,1.1519,,,,,,,,,
1,30/05/2022 20:20,7.5056,38.4092,23.9009,4.614,1.1758,,,,,,,,,
1,30/05/2022 20:30,7.5725,24.1511,45.5965,4.6165,1.2037,,,,,,,,,
1,30/05/2022 20:40,7.5722,24.1411,53.1446,4.6264,1.2186,,,,,,,,,
1,30/05/2022 20:50,7.5191,38.4856,41.2188,4.6163,1.1914,,,,,,,,,
1,30/05/2022 21:00,7.6063,23.9459,25.987,4.5898,1.206,,,,,,,,,
1,30/05/2022 21:10,7.5878,37.7009,39.0056,4.581,1.1496,,,,,,,,,
1,30/05/2022 21:20,7.5947,23.9157,25.2347,4.5781,1.1227,,,,,,,,,
1,30/05/2022 21:30,7.5665,37.6565,17.9444,4.5595,1.1252,,,,,,,,,
1,30/05/2022 21:40,7.6309,23.9681,59.4731,4.5804,1.1214,,,,,,,,,
1,30/05/2022 21:50,7.5428,38.0951,45.6185,4.5982,1.1197,,,,,,,,,
1,30/05/2022 22:00,7.6035,23.9638,37.6587,4.5856,1.1459,,,,,,,,,
1,30/05/2022 22:10,7.5704,35.1419,52.1759,4.5866,1.1163,,,,,,,,,
