time,dataid,cleaning_system,cooling_system,lightning_system,milk_pump,RO,vacuum_pump,osmose,coldroom,water_pump,non-shiftable,total
2022-05-30 08:00:00,1.0,6.5026,37.4616,17.7129,4.7268,0.0,0.7136,0.0,0.0,0.0,0.0,67.11749999999999
2022-05-30 08:10:00,1.0,6.5778,23.4686,2.7034,4.7359,0.0,0.8116,0.0,0.0,0.0,0.0,38.2973
2022-05-30 08:20:00,1.0,6.535,37.7116,14.2423,4.7402,0.0,0.7909,0.0,0.0,0.0,0.0,64.02
2022-05-30 08:30:00,1.0,6.5916,23.6902,14.4115,4.743,0.0,0.781,0.0,0.0,0.0,0.0,50.2173
2022-05-30 08:40:00,1.0,6.5561,28.1167,8.443,4.7247,0.0,0.7796,0.0,0.0,0.0,0.0,48.6201
2022-05-30 08:50:00,1.0,6.5865,33.3129,2.7627,4.7149,0.0,0.783,0.0,0.0,0.0,0.0,48.160000000000004
2022-05-30 09:00:00,1.0,6.7757,23.6161,8.5969,4.6571,0.0,0.7545,0.0,0.0,0.0,0.0,44.4003
2022-05-30 09:10:00,1.0,6.7882,37.4374,1.5006,4.5827,0.0,0.7442,0.0,0.0,0.0,0.0,51.0531
2022-05-30 09:20:00,1.0,6.8856,23.7299,1.478,4.5781,0.0,0.7439,0.0,0.0,0.0,0.0,37.415499999999994
2022-05-30 09:30:00,1.0,6.913,37.3732,15.9417,4.5953,0.0,0.6473,0.0,0.0,0.0,0.0,65.47049999999999
2022-05-30 09:40:00,1.0,7.004,23.668,14.2213,4.594,0.0,0.6253,0.0,0.0,0.0,0.0,50.1126
2022-05-30 09:50:00,1.0,6.9183,37.7089,9.0031,4.6478,0.0,0.6581,0.0,0.0,0.0,0.0,58.93620000000001
2022-05-30 10:00:00,1.0,6.9675,23.7997,1.3057,4.6624,0.0,0.6571,0.0,0.0,0.0,0.0,37.3924
2022-05-30 10:10:00,1.0,6.9054,37.8484,1.2169,4.6659,0.0,0.7943,0.0,0.0,0.0,0.0,51.4309
2022-05-30 10:20:00,1.0,6.9704,23.927,18.7948,4.682,0.0,0.8085,0.0,0.0,0.0,0.0,55.182700000000004
2022-05-30 10:30:00,1.0,7.0392,25.0399,1.2316,4.6605,0.0,0.8184,0.0,0.0,0.0,0.0,38.78959999999999
2022-05-30 10:40:00,1.0,6.9746,36.1485,7.4014,4.6481,0.0,0.8007,0.0,0.0,0.0,0.0,55.9733
2022-05-30 10:50:00,1.0,6.969,23.9066,0.9172,4.6695,0.0,0.8023,0.0,0.0,0.0,0.0,37.26460000000001
2022-05-30 11:00:00,1.0,6.8846,38.0157,0.6588,4.6588,0.0,0.8055,0.0,0.0,0.0,0.0,51.0234
2022-05-30 11:10:00,1.0,6.9327,24.0874,6.9815,4.6811,0.0,0.8213,0.0,0.0,0.0,0.0,43.504
2022-05-30 11:20:00,1.0,6.8719,37.7171,6.342,4.6434,0.0,0.8355,0.0,0.0,0.0,0.0,56.4099
2022-05-30 11:30:00,1.0,6.9226,24.1645,16.3158,4.6929,0.0,0.8261,0.0,0.0,0.0,0.0,52.9219
2022-05-30 11:40:00,1.0,6.868,38.5943,29.002,4.6985,0.0,0.8735,0.0,0.0,0.0,0.0,80.0363
2022-05-30 11:50:00,1.0,6.8873,24.2418,7.7506,4.6839,0.0,0.8888,0.0,0.0,0.0,0.0,44.452400000000004
2022-05-30 12:00:00,1.0,6.9118,36.8714,50.9089,4.6601,0.0,0.8486,0.0,0.0,0.0,0.0,100.20080000000002
2022-05-30 12:10:00,1.0,6.8799,25.4665,0.3105,4.658,0.0,0.8284,0.0,0.0,0.0,0.0,38.1433
2022-05-30 12:20:00,1.0,6.5361,344.2273,0.0,4.4154,0.0,0.8486,0.0,0.0,0.0,0.0,356.02739999999994
2022-05-30 12:30:00,1.0,5.6635,1048.5496,12.6374,3.7932,0.0,0.8556,0.0,0.0,0.0,0.0,1071.4993000000004
2022-05-30 12:40:00,1.0,6.9036,23.3681,7.58,4.6758,0.0,0.8752,0.0,0.0,0.0,0.0,43.4027
2022-05-30 12:50:00,1.0,6.8583,37.6659,0.1359,4.6844,0.0,0.882,0.0,0.0,0.0,0.0,50.226499999999994
2022-05-30 13:00:00,1.0,6.8763,23.7939,4.661,4.6854,0.0,0.9065,0.0,0.0,0.0,0.0,40.923100000000005
2022-05-30 13:10:00,1.0,6.8341,38.1321,0.1557,4.6762,0.0,0.9049,0.0,0.0,0.0,0.0,50.703
2022-05-30 13:20:00,1.0,6.8677,23.9048,0.2593,4.6832,0.0,0.8879,0.0,0.0,0.0,0.0,36.602900000000005
2022-05-30 13:30:00,1.0,6.9889,23.6391,0.1961,4.6082,0.0,0.8837,0.0,0.0,0.0,0.0,36.315999999999995
2022-05-30 13:40:00,1.0,6.8898,37.3867,0.2256,4.6372,0.0,0.827,0.0,0.0,0.0,0.0,49.9663
2022-05-30 13:50:00,1.0,6.9223,24.0159,0.3352,4.6537,0.0,0.8538,0.0,0.0,0.0,0.0,36.780899999999995
2022-05-30 14:00:00,1.0,6.8661,37.863,0.5346,4.6447,0.0,0.8918,0.0,0.0,0.0,0.0,50.800200000000004
2022-05-30 14:10:00,1.0,6.8879,24.0902,29.4062,4.6606,0.0,0.8956,0.0,0.0,0.0,0.0,65.9405
2022-05-30 14:20:00,1.0,6.8298,37.9378,16.3468,4.644,0.0,0.8876,0.0,0.0,0.0,0.0,66.64600000000002
2022-05-30 14:30:00,1.0,6.8761,24.1869,14.6608,4.631,0.0,0.8953,0.0,0.0,0.0,0.0,51.2501
2022-05-30 14:40:00,1.0,6.8267,38.5069,12.5577,4.6407,0.0,0.8923,0.0,0.0,0.0,0.0,63.4243
2022-05-30 14:50:00,1.0,6.8983,24.353,8.7088,4.6678,0.0,0.9473,0.0,0.0,0.0,0.0,45.575199999999995
2022-05-30 15:00:00,1.0,6.8038,36.1615,11.6574,4.652,0.0,0.942,0.0,0.0,0.0,0.0,60.2167
2022-05-30 15:10:00,1.0,6.8467,26.8572,8.422,4.6376,0.0,0.9791,0.0,0.0,0.0,0.0,47.7426
2022-05-30 15:20:00,1.0,7.1115,24.3796,27.4576,4.5644,0.0,0.9409,0.0,0.0,0.0,0.0,64.45400000000001
2022-05-30 15:30:00,1.0,8.97,35.0736,85.2501,5.6483,0.0,0.9434,0.0,0.0,0.0,0.0,135.8854
2022-05-30 15:40:00,1.0,9.3312,21.3664,85.529,55.8332,0.0,2696.3048,0.0,0.0,0.0,0.0,2868.3646
2022-05-30 15:50:00,1.0,7.3794,1697.552,96.3205,59.4221,0.0,2995.483,0.0,0.0,0.0,0.0,4856.157
2022-05-30 16:00:00,1.0,6.4948,2356.4777,82.0045,10.4412,0.0,2994.6167,0.0,0.0,0.0,0.0,5450.034900000001
2022-05-30 16:10:00,1.0,6.6217,2332.8424,88.7307,58.3848,0.0,2997.1664,0.0,0.0,0.0,0.0,5483.746
2022-05-30 16:20:00,1.0,6.486,2324.8299,87.0402,17.4715,0.0,2987.7603,0.0,0.0,0.0,0.0,5423.5879
2022-05-30 16:30:00,1.0,6.567,2329.0814,93.5012,45.0258,0.0,2988.3241,0.0,0.0,0.0,0.0,5462.4995
2022-05-30 16:40:00,1.0,8.4735,641.048,95.6776,40.0226,0.0,2986.9639,0.0,0.0,0.0,0.0,3772.1856000000002
2022-05-30 16:50:00,1.0,8.9554,231.0401,101.3998,33.5403,0.0,2987.2391,0.0,0.0,0.0,0.0,3362.1746999999996
2022-05-30 17:00:00,1.0,6.4769,2355.0376,77.6719,31.896,0.0,2990.6276,0.0,0.0,0.0,0.0,5461.71
2022-05-30 17:10:00,1.0,6.4492,2343.4786,81.809,23.4686,0.0,2994.9647,0.0,0.0,0.0,0.0,5450.1701
2022-05-30 17:20:00,1.0,5.8438,2497.2333,88.7057,48.2881,0.0,2989.3371,0.0,0.0,0.0,0.0,5629.408
2022-05-30 17:30:00,1.0,6.6699,963.6347,97.0574,12.4825,0.0,2987.5231,0.0,0.0,0.0,0.0,4067.3675999999996
2022-05-30 17:40:00,1.0,7.9391,22.3479,87.7998,13.22,0.0,316.7473,0.0,0.0,0.0,0.0,448.0541
2022-05-30 17:50:00,1.0,7.8241,36.0699,32.6942,4.5599,0.0,1.1234,0.0,0.0,0.0,0.0,82.2715
2022-05-30 18:00:00,1.0,7.6017,22.9532,10.4236,4.587,0.0,1.1178,0.0,0.0,0.0,0.0,46.6833
2022-05-30 18:10:00,1.0,6.0904,1098.6117,1.5411,3.7901,0.0,1.1328,0.0,0.0,0.0,0.0,1111.1661
2022-05-30 18:20:00,1.0,7.5405,23.0672,24.2603,4.5942,0.0,1.1737,0.0,0.0,0.0,0.0,60.6359
2022-05-30 18:30:00,1.0,7.5851,36.8106,17.9552,4.5732,0.0,1.1767,0.0,0.0,0.0,0.0,68.10079999999999
2022-05-30 18:40:00,1.0,7.6048,23.2295,35.201,4.5691,0.0,1.1462,0.0,0.0,0.0,0.0,71.7506
2022-05-30 18:50:00,1.0,7.6134,26.1378,28.9691,4.5757,0.0,1.136,0.0,0.0,0.0,0.0,68.43199999999999
