time,T2M
12/31/2017 17:00,-0.76
12/31/2017 18:00,-1.77
12/31/2017 19:00,-2.74
12/31/2017 20:00,-3.43
12/31/2017 21:00,-3.63
12/31/2017 22:00,-3.86
12/31/2017 23:00,-4.13
1/1/2018 0:00,-4.4
1/1/2018 1:00,-4.72
1/1/2018 2:00,-5.06
1/1/2018 3:00,-5.31
1/1/2018 4:00,-5.5
1/1/2018 5:00,-5.74
1/1/2018 6:00,-5.95
1/1/2018 7:00,-5.38
1/1/2018 8:00,-4.57
1/1/2018 9:00,-3.49
1/1/2018 10:00,-2.25
1/1/2018 11:00,-1.24
1/1/2018 12:00,-0.59
1/1/2018 13:00,-0.4
1/1/2018 14:00,-0.52
1/1/2018 15:00,-1.02
1/1/2018 16:00,-2.97
1/1/2018 17:00,-4.33
1/1/2018 18:00,-4.67
1/1/2018 19:00,-4.92
1/1/2018 20:00,-4.8
1/1/2018 21:00,-4.66
1/1/2018 22:00,-4.48
1/1/2018 23:00,-4.33
1/2/2018 0:00,-4.32
1/2/2018 1:00,-4.42
1/2/2018 2:00,-4.48
1/2/2018 3:00,-4.47
1/2/2018 4:00,-4.43
1/2/2018 5:00,-4.33
1/2/2018 6:00,-4.18
1/2/2018 7:00,-3.38
1/2/2018 8:00,-2.17
1/2/2018 9:00,-1.05
1/2/2018 10:00,-0.11
1/2/2018 11:00,0.48
1/2/2018 12:00,0.84
1/2/2018 13:00,0.99
1/2/2018 14:00,0.63
1/2/2018 15:00,-0.25
1/2/2018 16:00,-1.66
1/2/2018 17:00,-3.17
1/2/2018 18:00,-4.38
1/2/2018 19:00,-4.95
1/2/2018 20:00,-5.22
1/2/2018 21:00,-5.63
1/2/2018 22:00,-5.89
1/2/2018 23:00,-5.95
1/3/2018 0:00,-5.95
1/3/2018 1:00,-5.92
1/3/2018 2:00,-5.9
1/3/2018 3:00,-5.83
1/3/2018 4:00,-5.71
1/3/2018 5:00,-5.58
1/3/2018 6:00,-5.27
1/3/2018 7:00,-3.11
1/3/2018 8:00,0.5
1/3/2018 9:00,4.74
1/3/2018 10:00,7.9
1/3/2018 11:00,9.82
1/3/2018 12:00,11.16
1/3/2018 13:00,11.79
1/3/2018 14:00,11.76
1/3/2018 15:00,9.4
1/3/2018 16:00,5.24
1/3/2018 17:00,4.15
1/3/2018 18:00,3.62
1/3/2018 19:00,3
1/3/2018 20:00,2.13
1/3/2018 21:00,1.22
1/3/2018 22:00,0.58
1/3/2018 23:00,0.15
1/4/2018 0:00,-0.05
1/4/2018 1:00,-0.07
1/4/2018 2:00,-0.15
1/4/2018 3:00,0.01
1/4/2018 4:00,-0.13
1/4/2018 5:00,-0.6
1/4/2018 6:00,-0.84
1/4/2018 7:00,1.73
1/4/2018 8:00,4.11
1/4/2018 9:00,7.57
1/4/2018 10:00,9.73
1/4/2018 11:00,11.01
1/4/2018 12:00,11.68
1/4/2018 13:00,11.43
1/4/2018 14:00,9.97
1/4/2018 15:00,7.78
1/4/2018 16:00,6.17
1/4/2018 17:00,5.46
1/4/2018 18:00,5.07
1/4/2018 19:00,4.7
1/4/2018 20:00,4.3
1/4/2018 21:00,3.95
1/4/2018 22:00,3.69
1/4/2018 23:00,3.52
1/5/2018 0:00,3.37
1/5/2018 1:00,3.23
1/5/2018 2:00,3.22
1/5/2018 3:00,3.26
1/5/2018 4:00,3.32
1/5/2018 5:00,3.21
1/5/2018 6:00,2.85
1/5/2018 7:00,5.33
1/5/2018 8:00,8
1/5/2018 9:00,10.73
1/5/2018 10:00,12.5
1/5/2018 11:00,14.07
1/5/2018 12:00,15.17
1/5/2018 13:00,15.55
1/5/2018 14:00,15.33
1/5/2018 15:00,13.87
1/5/2018 16:00,9.08
1/5/2018 17:00,7.24
1/5/2018 18:00,6.64
1/5/2018 19:00,6.12
1/5/2018 20:00,5.78
1/5/2018 21:00,5.35
1/5/2018 22:00,4.44
1/5/2018 23:00,3.61
1/6/2018 0:00,2.83
1/6/2018 1:00,2.13
1/6/2018 2:00,1.77
1/6/2018 3:00,1.55
1/6/2018 4:00,1.37
1/6/2018 5:00,1.29
1/6/2018 6:00,1.62
1/6/2018 7:00,5.33
1/6/2018 8:00,8.06
1/6/2018 9:00,11.46
1/6/2018 10:00,14.06
1/6/2018 11:00,16.13
1/6/2018 12:00,17.05
1/6/2018 13:00,17.26
1/6/2018 14:00,16.81
1/6/2018 15:00,15.68
1/6/2018 16:00,12.5
1/6/2018 17:00,10.69
1/6/2018 18:00,9.67
1/6/2018 19:00,9.51
1/6/2018 20:00,10.12
1/6/2018 21:00,9.93
1/6/2018 22:00,9.64
1/6/2018 23:00,9.41
1/7/2018 0:00,9.43
1/7/2018 1:00,9.23
1/7/2018 2:00,9.31
1/7/2018 3:00,9.4
1/7/2018 4:00,9.67
1/7/2018 5:00,10.25
1/7/2018 6:00,10.9
1/7/2018 7:00,11.66
1/7/2018 8:00,12.71
1/7/2018 9:00,14.19
1/7/2018 10:00,15.76
1/7/2018 11:00,17.21
1/7/2018 12:00,18.01
1/7/2018 13:00,18.36
1/7/2018 14:00,18.48
1/7/2018 15:00,17.86
1/7/2018 16:00,15.8
1/7/2018 17:00,14.76
1/7/2018 18:00,13.73
1/7/2018 19:00,12.67
1/7/2018 20:00,12.33
1/7/2018 21:00,11.6
1/7/2018 22:00,10.39
1/7/2018 23:00,9.67
1/8/2018 0:00,9.31
1/8/2018 1:00,8.98
1/8/2018 2:00,8.49
1/8/2018 3:00,7.87
1/8/2018 4:00,7.18
1/8/2018 5:00,6.4
1/8/2018 6:00,5.89
1/8/2018 7:00,7.74
1/8/2018 8:00,10.85
1/8/2018 9:00,13.8
1/8/2018 10:00,15.69
1/8/2018 11:00,17.15
1/8/2018 12:00,18.13
1/8/2018 13:00,18.48
1/8/2018 14:00,18.23
1/8/2018 15:00,16.68
1/8/2018 16:00,11.76
1/8/2018 17:00,9.59
1/8/2018 18:00,8.7
1/8/2018 19:00,7.94
1/8/2018 20:00,7.2
1/8/2018 21:00,6.5
1/8/2018 22:00,5.87
1/8/2018 23:00,5.3
1/9/2018 0:00,4.82
1/9/2018 1:00,4.47
1/9/2018 2:00,4.23
1/9/2018 3:00,4.13
1/9/2018 4:00,4.2
1/9/2018 5:00,4.07
1/9/2018 6:00,3.81
1/9/2018 7:00,6.37
1/9/2018 8:00,9.12
1/9/2018 9:00,12.94
1/9/2018 10:00,15.35
1/9/2018 11:00,17.48
1/9/2018 12:00,18.99
1/9/2018 13:00,19.76
1/9/2018 14:00,19.76
1/9/2018 15:00,17.87
1/9/2018 16:00,12.89
1/9/2018 17:00,10.95
1/9/2018 18:00,10.22
1/9/2018 19:00,9.55
1/9/2018 20:00,9.26
1/9/2018 21:00,8.57
1/9/2018 22:00,7.62
1/9/2018 23:00,6.72
1/10/2018 0:00,5.98
1/10/2018 1:00,5.23
1/10/2018 2:00,5.34
1/10/2018 3:00,5.66
1/10/2018 4:00,5.79
1/10/2018 5:00,6.08
1/10/2018 6:00,6.49
1/10/2018 7:00,7.23
1/10/2018 8:00,8.38
1/10/2018 9:00,10
1/10/2018 10:00,12.15
1/10/2018 11:00,15.43
1/10/2018 12:00,17.69
1/10/2018 13:00,18.88
1/10/2018 14:00,19.14
1/10/2018 15:00,18.32
1/10/2018 16:00,15.31
1/10/2018 17:00,13.42
1/10/2018 18:00,12.72
1/10/2018 19:00,12.26
1/10/2018 20:00,12.01
1/10/2018 21:00,11.53
1/10/2018 22:00,11.52
1/10/2018 23:00,11.44
1/11/2018 0:00,11.3
1/11/2018 1:00,10.9
1/11/2018 2:00,9.98
1/11/2018 3:00,9.62
1/11/2018 4:00,9.54
1/11/2018 5:00,9.51
1/11/2018 6:00,9.66
1/11/2018 7:00,12.4
1/11/2018 8:00,15.02
1/11/2018 9:00,17.69
1/11/2018 10:00,18.15
1/11/2018 11:00,16.72
1/11/2018 12:00,14.8
1/11/2018 13:00,13.18
1/11/2018 14:00,10.55
1/11/2018 15:00,7.3
1/11/2018 16:00,5.3
1/11/2018 17:00,4.41
1/11/2018 18:00,4.08
1/11/2018 19:00,3.71
1/11/2018 20:00,3.28
1/11/2018 21:00,2.97
1/11/2018 22:00,2.57
1/11/2018 23:00,2.01
1/12/2018 0:00,1.3
1/12/2018 1:00,0.52
1/12/2018 2:00,-0.2
1/12/2018 3:00,-0.84
1/12/2018 4:00,-1.38
1/12/2018 5:00,-1.83
1/12/2018 6:00,-2.21
1/12/2018 7:00,-0.51
1/12/2018 8:00,2.42
1/12/2018 9:00,5.26
1/12/2018 10:00,7.69
1/12/2018 11:00,9.76
1/12/2018 12:00,11.3
1/12/2018 13:00,12.27
1/12/2018 14:00,12.42
1/12/2018 15:00,11.38
1/12/2018 16:00,6.56
1/12/2018 17:00,4.23
1/12/2018 18:00,3.42
1/12/2018 19:00,2.49
1/12/2018 20:00,1.6
1/12/2018 21:00,0.8
1/12/2018 22:00,0.17
1/12/2018 23:00,-0.55
1/13/2018 0:00,-1.21
1/13/2018 1:00,-1.69
1/13/2018 2:00,-2.16
1/13/2018 3:00,-2.67
1/13/2018 4:00,-3.12
1/13/2018 5:00,-3.55
1/13/2018 6:00,-3.6
1/13/2018 7:00,-1.61
1/13/2018 8:00,1.37
1/13/2018 9:00,4.02
1/13/2018 10:00,6.37
1/13/2018 11:00,8.29
1/13/2018 12:00,9.69
1/13/2018 13:00,10.4
1/13/2018 14:00,10.55
1/13/2018 15:00,9.59
1/13/2018 16:00,5.44
1/13/2018 17:00,3.04
1/13/2018 18:00,2.01
1/13/2018 19:00,1.22
